# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	237
#@/user_id	1b8f9988-61a7-4917-ab1b-51f21849ec77
a 	啊	c=1 d=0.985112 t=237
an 	按	c=0 d=0.1 t=23
an jiu shi 	按就是	c=1 d=1 t=24
ba 	吧	c=3 d=1.5026 t=197
ban 	半	c=0 d=0.1 t=45
ban 	班	c=1 d=1 t=149
bao 	报	c=0 d=0.1 t=170
bei you 	北邮	c=1 d=1 t=73
bi 	比	c=0 d=0.1 t=136
bi chuan da 	比川大	c=1 d=1 t=137
bian hua 	变化	c=0 d=0.1 t=219
bian hua le 	变化了	c=1 d=1 t=220
bie 	别	c=1 d=1.08311 t=49
bie jue de 	别觉得	c=1 d=1 t=13
bie qu 	别去	c=2 d=1.99005 t=188
bie xue 	别学	c=3 d=2.9178 t=192
bo yi bo 	搏一搏	c=1 d=1 t=168
bu 	不	c=1 d=1.19733 t=155
bu cuo 	不错	c=0 d=0.1 t=27
bu kao lv 	不考虑	c=1 d=1 t=156
bu neng 	不能	c=1 d=1 t=230
bu que ding you zhe ge 	不确定有这个	c=1 d=1 t=129
bu shi 	不是	c=1 d=1 t=106
bu xing 	不行	c=1 d=1.06818 t=71
bu zhi dao 	不知道	c=1 d=1 t=75
cha bu duo 	差不多	c=0 d=0.1 t=181
cha bu duo le 	差不多了	c=1 d=1 t=182
chi xiang 	吃香	c=0 d=0.1 t=153
chu fei 	除非	c=1 d=1 t=60
chuan da 	传达	c=1 d=1 t=85
chuan da 	川大	c=1 d=0.931104 t=136
da 	大	c=0 d=0.199501 t=80
da niu shi 	大牛市	c=1 d=1 t=221
da xue 	大学	c=1 d=1.06079 t=86
dan shi 	但是	c=1 d=1 t=222
de 	的	c=4 d=2.37056 t=224
de hen duo 	的很多	c=1 d=1 t=68
dian zi 	电子	c=0 d=0.1625 t=140
dian zi ke da 	电子科大	c=1 d=1 t=141
dian zi ke ji da xue 	电子科技大学	c=7 d=5.72524 t=131
dong bei 	东北	c=1 d=1 t=189
dong nan da xue 	东南大学	c=1 d=1 t=185
dou 	都	c=2 d=2.03638 t=164
dou bu xing ba 	都不行吧	c=1 d=1 t=72
dou ke 	都可	c=0 d=0.1 t=171
dou ke yi shang 	都可以上	c=1 d=1 t=172
dou xu gao 	都虚高	c=1 d=1 t=90
dui 	对	c=1 d=1 t=152
dui kou 	对口	c=1 d=1 t=114
